path,chain_id,hotel_id
4/f0d7c330b4e58e1c.jpg,4,22114
24/e1bd0f231e6db0a1.jpg,24,47225
8/d39a0bcc6c16c7cc.jpg,8,10411
0/c784397b4795d462.jpg,0,30165
74/b5b14a35c9ea9685.jpg,74,20759
23/d42f6a1d6a94876c.jpg,23,58123
6/e8b199cc56ead492.jpg,6,64399
86/b534cae991dce690.jpg,86,9578
5/b884170be590fa6f.jpg,5,61627
76/ce6fb1d828c5c368.jpg,76,46997
57/f1250cf1a67e4b1a.jpg,57,3613
0/d0dcc57275f13485.jpg,0,47174
0/a7c5583ac34fb485.jpg,0,10791
0/a5d1f0d24f9595e0.jpg,0,14732
3/9252d67e6128da5b.jpg,3,45826
9/c49c16d92b6319d7.jpg,9,6366
7/c598f22d1bcc01df.jpg,7,58902
0/e4bc396f25c60993.jpg,0,17631
2/e8aa17c781b8ecc3.jpg,2,53586
6/8295bf8a706f43ca.jpg,6,14293
1/9aeda94493685eaa.jpg,1,12558
70/e0c019e71e7c87f4.jpg,70,10578
90/adab220d33ae7493.jpg,90,17362
0/f8f843958572b88e.jpg,0,27440
88/e0ca17d72f60f807.jpg,88,12810
2/ae3495cb2331ed1c.jpg,2,58441
3/df6a3d800afdf801.jpg,3,10157
77/f5ff3f10802f34c0.jpg,77,36419
2/95735926944cb38f.jpg,2,20281
4/dc2f4a626b362786.jpg,4,38148
2/a6d81969762647d9.jpg,2,36976
79/9fff6290882078db.jpg,79,50871
82/84b4f4b332d29ada.jpg,82,35799
0/db8936642c7c819f.jpg,0,3667
28/b6821df0093ee3a7.jpg,28,46830
0/c235d82d9ee43359.jpg,0,52471
52/83b91e6f2c8ea187.jpg,52,28896
78/c62e71919e4eb199.jpg,78,63961
3/94c4ed196b8f187a.jpg,3,24380
3/dcbf62810778e887.jpg,3,32067
8/d99a3864667d5961.jpg,8,46983
3/fd8dc04e4b68b391.jpg,3,4735
45/e0833cfc01debcf0.jpg,45,46129
87/ecf961987a2f3142.jpg,87,17518
9/8bb9e491a2c86afa.jpg,9,13584
2/efc1d8b4906b66c1.jpg,2,4559
82/85cc72625a3a275f.jpg,82,16161
78/f07c3f059bc8053e.jpg,78,54207
82/cda433d9766489d1.jpg,82,15970
76/adad525daf9a4242.jpg,76,53657
6/c38730d8a4a787fa.jpg,6,55953
3/aa2a6afad0958796.jpg,3,22898
0/cf41be10388f383f.jpg,0,18985
83/a46d11d9e1269af6.jpg,83,61009
89/b6a96552da656cb0.jpg,89,54417
5/ed9153ac866acc35.jpg,5,5810
0/be870138b5a66ae9.jpg,0,39283
84/93bb5ca42c83979a.jpg,84,52090
85/96d2570d898ddcd2.jpg,85,40805
87/feff3eb88000c38a.jpg,87,50648
0/d393e4cc2cc9c6c6.jpg,0,9203
69/95efc1608483ffb0.jpg,69,25124
69/80c36ef2e5883bd6.jpg,69,40521
89/8f4ca3d32cd0cbb1.jpg,89,23717
51/a802d6d097adc9b7.jpg,51,19046
0/d8c8273733d9ec12.jpg,0,4813
0/edcb12854a974c9b.jpg,0,14915
0/a050069fbe3d3c7c.jpg,0,28917
87/90e7da9967904d33.jpg,87,32263
90/d0e02a9af51f1e27.jpg,90,6551
79/cfd826c3e837c81c.jpg,79,5088
6/877ce3831c903fa3.jpg,6,16121
52/e5274a5833dd4678.jpg,52,9520
0/8a9b7546c2373dd0.jpg,0,53044
3/90c927ba58b74dac.jpg,3,3637
52/be33ca30c53c926d.jpg,52,12628
1/f4fc2a4383d57c28.jpg,1,55476
76/e1e39cf8d68de090.jpg,76,7237
8/c47b8194fa61679a.jpg,8,40265
72/e9f22d9e325cc3a0.jpg,72,11156
0/fdcb8760038f6887.jpg,0,45612
0/cef6cc2d31c61a8c.jpg,0,35800
4/eca51b421ff0c9d8.jpg,4,34608
2/c7877cd8982d2693.jpg,2,34621
11/d7da2484719b0f3c.jpg,11,27945
87/ce953a4b2cbcfb00.jpg,87,59626
6/bbeb5415445b52e4.jpg,6,18590
0/929ae0266d6993f6.jpg,0,63248
36/eb3816ccd1a7a1d2.jpg,36,12914
5/f29ca9841a63c377.jpg,5,42244
68/c5cf9869b68625b1.jpg,68,56677
46/d468e33c613b313b.jpg,46,28761
0/92bd348a6f34a2cb.jpg,0,57674
89/8a70a1d32d7a974e.jpg,89,53699
89/f8f82b8307d47878.jpg,89,33172
62/e173b1dc6e0b13e0.jpg,62,55580
63/c383bcbcf8630713.jpg,63,53237
85/c2c5e29a15bb9a1e.jpg,85,39654
71/ebf0340dabe8c227.jpg,71,35774
83/ffc710e0868cf133.jpg,83,25577
0/cdf8907fb207039c.jpg,0,49828
69/95956a92c96699ad.jpg,69,11927
78/a9985e9e5e39d092.jpg,78,57968
60/9595d474702f2f0b.jpg,60,6885
50/c4bf4d907f4ca2d0.jpg,50,50679
88/c4e34338393c5b73.jpg,88,32635
5/eca554588876758f.jpg,5,48049
0/d2e26d6f69284d68.jpg,0,4846
82/b2b2c1496f0dc5cd.jpg,82,38291
0/9ecee0fa6c0293e4.jpg,0,54838
0/fd6b02da016cdfc0.jpg,0,15778
